Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,3,19,36.3996514,127.3967203
2024,3,19,36.399652,127.3966426
2024,3,19,36.3996712,127.3952989
2024,3,19,36.4022654,127.3893074
2024,3,19,36.4026827,127.3889824
2024,3,19,36.4047305,127.4032464
2024,3,19,36.4060332,127.4022221
2024,3,19,36.4304734,127.3813687
2024,3,19,36.4305222,127.3813201
2024,3,19,36.4309749,127.3808247
2024,3,19,36.4310294,127.3807634
2024,3,19,36.4311989,127.3806103
2024,3,19,36.4312574,127.3805746
2024,3,19,36.4313738,127.3805199
2024,3,19,36.4314311,127.3804994
2024,3,19,36.4315894,127.3804762
2024,3,19,36.3910241,127.393457
2024,3,7,36.3933696,127.3496206
2024,3,7,36.4292721,127.3837399
2024,3,6,36.4024763,127.3639047
2024,3,6,36.4022745,127.3636913
2024,3,6,36.3906541,127.3241497
2024,3,4,36.4060767,127.4021958
2024,3,4,36.4059062,127.4025676
2024,3,4,36.4057614,127.4028411
2024,3,1,36.4046051,127.4029076
2024,3,1,36.4046051,127.4029076
2024,3,1,36.3896765,127.3486262
2024,3,1,36.3879552,127.3224777
2024,2,29,36.3938585,127.3501996
2024,2,29,36.3938585,127.3501996
2024,2,29,36.3939076,127.350262
2024,2,29,36.3939076,127.350262
2024,2,29,36.3939076,127.350262
2024,2,29,36.382227,127.4060594
2024,2,29,36.382227,127.4060594
2024,2,29,36.3823178,127.4060305
2024,2,29,36.3824092,127.4060002
2024,2,29,36.383857,127.4055374
2024,2,29,36.3839528,127.405507
2024,2,29,36.3956141,127.4048789
2024,2,29,36.3961831,127.4048776
2024,2,29,36.3964208,127.4048812
2024,2,29,36.3964208,127.4048812
2024,2,29,36.3964995,127.4048804
2024,2,29,36.399125,127.4048522
2024,2,29,36.399235,127.4048517
2024,2,29,36.4206394,127.4046069
2024,2,29,36.4238262,127.3940134
2024,2,29,36.4262357,127.3915245
2024,2,29,36.4299492,127.3829869
2024,2,29,36.4299492,127.3829869
2024,2,29,36.4299492,127.3829869
2024,2,29,36.4266841,127.3852828
2024,2,29,36.4196966,127.3802026
2024,2,29,36.417917,127.3785369
2024,2,29,36.3989113,127.3583179
2024,2,29,36.3984571,127.3574104
2024,2,29,36.3980075,127.3565902
2024,2,29,36.3946284,127.3494326
2024,2,28,36.3832251,127.3228831
2024,2,28,36.3832251,127.3228831
2024,2,28,36.3832674,127.3228578
2024,2,28,36.3832674,127.3228578
2024,2,28,36.3840117,127.3223719
2024,2,28,36.3846796,127.3217723
2024,2,28,36.3847894,127.3216508
2024,2,28,36.3848241,127.3216116
2024,2,28,36.3848241,127.3216116
2024,2,28,36.3855952,127.3210021
2024,2,28,36.3856895,127.3210416
2024,2,28,36.3871151,127.3253464
2024,2,28,36.3871202,127.3254328
2024,2,28,36.3871202,127.3254328
2024,2,28,36.3915143,127.327846
2024,2,28,36.3854999,127.3579175
2024,2,28,36.3854789,127.3580382
2024,2,28,36.3854381,127.3582719
2024,2,28,36.4005483,127.3614934
2024,2,28,36.4018474,127.3630709
2024,2,28,36.402108,127.3633649
2024,2,28,36.402108,127.3633649
2024,2,28,36.402108,127.3633649
2024,2,28,36.4031048,127.3644805
2024,2,28,36.4050936,127.3667867
2024,2,28,36.405175,127.3669247
2024,2,28,36.4061274,127.3699225
2024,2,28,36.4069627,127.3732369
2024,2,28,36.4070017,127.3733759
2024,2,28,36.40712,127.3737935
2024,2,28,36.4128809,127.3781164
2024,2,28,36.3842919,127.3641628
2024,2,28,36.3843426,127.3640941
2024,2,28,36.3868535,127.3630185
2024,2,28,36.3893236,127.3448486
2024,2,28,36.3891955,127.3447508
2024,2,28,36.3849861,127.3433102
2024,2,28,36.3863707,127.3388738
2024,2,28,36.3891324,127.3230918
2024,2,28,36.3772019,127.3179964
2024,2,28,36.3708335,127.3179467
2024,2,28,36.3707234,127.3179481
2024,2,28,36.3707234,127.3179481
2024,2,28,36.3706104,127.3179487
2024,2,28,36.3704938,127.3179494
2024,2,28,36.3704938,127.3179494
2024,2,28,36.3698051,127.3179408
2024,2,28,36.3698051,127.3179408
2024,2,28,36.3680735,127.317937
2024,2,28,36.3679095,127.3179348
2024,2,19,36.314643,127.2845264
2024,2,19,36.3064217,127.2916407
2024,2,19,36.2892073,127.3042381
2024,2,19,36.2853379,127.310041
2024,2,19,36.2853379,127.310041
2024,2,19,36.3242027,127.312385
2024,2,19,36.3310185,127.31368
2024,2,19,36.3475661,127.3253124
2024,2,19,36.3570298,127.3314584
2024,2,19,36.358133,127.3308762
2024,2,13,36.3578351,127.3393027
2024,2,13,36.3578354,127.3393284
